timestamp,lat_accel,lat_accel_ff,bearing_feas,bearing_feas_on_track,signed_track_error,track_error_bound,airspeed_ref,bearing,heading_ref,min_ground_speed_ref,adapted_period,p_gain,time_const,can_run_factor,wind_est_valid
102232933,0.52342385,0.0,1.0,1.0,24.904144,32.773697,7.1468034,-0.10207459,0.11891444,5.0,10.0,0.87964594,7.0,1.0,1
102312692,0.49665266,0.0,1.0,1.0,24.516836,33.024864,7.1504126,-0.088810876,0.12825446,5.0,10.0,0.87964594,7.0,1.0,1
102432837,0.41674873,0.0,1.0,1.0,23.940823,31.001076,7.1480265,-0.11212312,0.11297044,5.0,10.0,0.87964594,7.0,1.0,1
102512351,0.4864828,0.0,1.0,1.0,23.56961,32.011852,7.1571665,-0.08469525,0.13395901,5.0,10.0,0.87964594,7.0,1.0,1
102632297,0.47932622,0.0,1.0,1.0,22.996534,31.06271,7.153489,-0.08840351,0.13154678,5.0,10.0,0.87964594,7.0,1.0,1
102712066,0.4691687,0.0,1.0,1.0,22.63339,30.908167,7.1609135,-0.08209073,0.13668096,5.0,10.0,0.87964594,7.0,1.0,1
102831821,0.5666927,0.0,1.0,1.0,22.078972,31.476719,7.1876397,-0.05508319,0.15448904,5.0,10.0,0.87964594,7.0,1.0,1
102931741,0.5125728,0.0,1.0,1.0,21.6307,29.320732,7.153247,-0.08748368,0.13244887,5.0,10.0,0.87964594,7.0,1.0,1
103031516,0.5795541,0.0,1.0,1.0,21.198635,30.229433,7.1863604,-0.05579978,0.15371248,5.0,10.0,0.87964594,7.0,1.0,1
103131291,0.497596,0.0,1.0,1.0,20.751987,28.143839,7.152185,-0.08807522,0.13185853,5.0,10.0,0.87964594,7.0,1.0,1
103230791,0.5875448,0.0,1.0,1.0,20.32939,28.716843,7.1788726,-0.063114725,0.14893188,5.0,10.0,0.87964594,7.0,1.0,1
103330864,0.65869725,0.0,1.0,1.0,19.908266,29.020678,7.200034,-0.0428409,0.1630584,5.0,10.0,0.87964594,7.0,1.0,1
103430582,0.67742825,0.0,1.0,1.0,19.49835,28.330055,7.197041,-0.04581346,0.16117638,5.0,10.0,0.87964594,7.0,1.0,1
103530414,0.7825062,0.0,1.0,1.0,19.07676,29.249607,7.23421,-0.00925052,0.18667606,5.0,10.0,0.87964594,7.0,1.0,1
103630018,0.74174315,0.0,1.0,1.0,18.664768,27.501152,7.2073383,-0.03782477,0.16842313,5.0,10.0,0.87964594,7.0,1.0,1
