timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
88891590,0.013581837,-0.010241112,-0.0032333597,4987,0,0.7545402,-0.21933927,-9.996841,4904,0,0,2,1
88896578,0.0062837703,-0.012459559,-0.0042794645,4988,0,0.7695908,-0.1929634,-9.988819,4905,0,0,2,1
88901566,-0.0036774767,-0.010948077,-0.0053612143,4988,0,0.7714725,-0.2289745,-9.987586,4905,0,0,2,1
88906553,-0.013105082,-0.0033319083,-0.0052670683,4987,0,0.78655034,-0.11040338,-9.945768,4904,0,0,2,1
88911541,-0.02519939,0.0071265046,-0.009113826,4988,0,0.812986,-0.13721986,-9.825368,4904,0,0,2,1
88916529,-0.025095982,0.009157031,-0.012379756,4988,0,0.8111344,-0.05820371,-9.7955885,4904,0,0,2,1
88921516,-0.036909703,0.019027341,-0.0014811648,4987,0,0.79225683,-0.022640867,-9.876163,4904,0,0,2,1
88926504,-0.034414053,0.015918316,-0.009211354,4988,0,0.7734872,-0.11043526,-9.839949,4905,0,0,2,1
88931492,-0.027910016,0.016817776,-0.0030216845,4988,0,0.7509024,-0.015224167,-9.866553,4904,0,0,2,1
88936479,-0.029238572,0.009829259,0.00042146177,4987,0,0.74901634,0.052902095,-9.863414,4905,0,0,2,1
88941467,-0.015122706,0.011251154,0.0013397471,4988,0,0.75285995,-0.003427671,-9.786975,4905,0,0,2,1
88946454,-0.023221483,0.009739503,-0.000490777,4987,0,0.79615504,0.06374688,-9.7310095,4904,0,0,2,1
88951442,-0.015336245,0.0033230414,0.00082280254,4988,0,0.7942917,-0.016128505,-9.713567,4904,0,0,2,1
88956430,-0.012143866,0.0024293733,-0.0027657473,4988,0,0.78296566,-0.08347486,-9.760123,4905,0,0,2,1
88961417,-0.013101407,0.005984858,-0.0020071047,4987,0,0.79236543,-0.10422315,-9.764286,4905,0,0,2,1
88966405,-0.013907059,0.0006701306,-0.008549445,4988,0,0.81107736,-0.14045718,-9.855653,4904,0,0,2,1
88971392,-0.013481037,0.0022643248,-0.008307919,4987,0,0.8047596,-0.09905743,-9.910939,7357,0,0,2,1
88976380,-0.019602044,-0.0040976508,-0.0041559474,4988,0,0.76402533,-0.014487479,-9.90811,4905,0,0,2,1
88981368,-0.017958634,-0.0036831207,-0.012300581,4988,0,0.8129932,0.04639217,-9.818252,4905,0,0,2,1
88986356,-0.01780443,-0.005333915,-0.018190712,4988,0,0.8130033,0.021568555,-9.807364,4904,0,0,2,1
88991343,-0.01859252,-0.0051696207,-0.0067332797,4987,0,0.8149494,-0.00053278083,-9.737865,4906,0,0,2,1
88996333,-0.016305331,-0.008876818,-0.010797763,4990,0,0.8337459,-0.008035106,-9.741792,4905,0,0,2,1
89001318,-0.0151322745,0.0042307945,-0.008110612,4985,0,0.8299371,-0.05445086,-9.793651,4904,0,0,2,1
89006307,-0.019550882,-0.0014388658,-0.0067709447,4989,0,0.8374306,-0.050148115,-9.821918,4904,0,0,2,1
89011294,-0.016297203,-0.00095468527,-0.0012256927,4987,0,0.83740264,-0.045878157,-9.848291,4906,0,0,2,1
89016281,-0.019713495,-0.0023037586,-0.009025287,4987,0,0.8204444,-0.050803676,-9.889928,4904,0,0,2,1
89021269,-0.01623762,-0.0015598679,0.005635529,4988,0,0.8016734,-0.026737427,-9.8592415,4904,0,0,2,1
89026256,-0.015339268,0.0046039224,-0.002242802,4987,0,0.81292164,-0.02611878,-9.8932495,4904,0,0,2,1
89031244,-0.020291608,0.0023470784,-0.0011613086,4988,0,0.8148538,-0.05359162,-9.840852,4905,0,0,2,1
89036232,-0.011392702,0.006266519,0.0030034592,4988,0,0.80730855,-0.026599139,-9.866803,4905,0,0,2,1
89041219,-0.008246558,0.0043730056,0.007547086,4987,0,0.81672007,0.0015636814,-9.853075,4904,0,0,2,1
89046207,-0.00404643,0.00189371,0.0003109501,4988,0,0.80357283,0.06384962,-9.840587,4904,0,0,2,1
89051195,0.0013902093,0.0025425816,0.0027104737,4988,0,0.79794234,0.093938224,-9.828705,4904,0,0,2,1
89056183,0.005547504,0.0018502335,0.0056238854,4988,0,0.80171096,0.06914941,-9.819712,4904,0,0,2,1
